trace_id,drawing_sheet_number,drawing_title,drawing_group,report_chapter,report_section,drawing_source_ids,link_type,notes
TR-4229,42,スタッド配置図（その4）,stud_layout,CH3,,DWG-TB-S042-001,group_mapping,
TR-4230,43,スタッド配置図（その5）,stud_layout,CH3,,DWG-TB-S043-001,group_mapping,
TR-4231,44,スタッド配置図（その6）,stud_layout,CH3,,DWG-TB-S044-001,group_mapping,
TR-4232,45,端横桁（その1）,end_cross_beam,CH3/CH4,,DWG-TB-S045-001,group_mapping,
TR-4233,46,端横桁（その2）,end_cross_beam,CH3/CH4,,DWG-TB-S046-001,group_mapping,
TR-4234,47,中間支点横桁（その1）,pier_cross_beam,CH3/CH4,,DWG-TB-S047-001,group_mapping,
TR-4235,48,中間支点横桁（その2）,pier_cross_beam,CH3/CH4,,DWG-TB-S048-001,group_mapping,
TR-4236,49,中間横桁（その1）,intermediate_cross_beam,CH3/CH4,,DWG-TB-S049-001,group_mapping,
TR-4237,50,中間横桁（その2）,intermediate_cross_beam,CH3/CH4,,DWG-TB-S050-001,group_mapping,
TR-4238,51,中間横桁（その3）,intermediate_cross_beam,CH3/CH4,,DWG-TB-S051-001,group_mapping,
TR-4239,52,中間横桁（その4）,intermediate_cross_beam,CH3/CH4,,DWG-TB-S052-001,group_mapping,
TR-4240,53,中間横桁（その5）,intermediate_cross_beam,CH3/CH4,,DWG-TB-S053-001,group_mapping,
TR-4241,54,中間横桁（その6）,intermediate_cross_beam,CH3/CH4,,DWG-TB-S054-001,group_mapping,
TR-4242,55,中間横桁（その7）,intermediate_cross_beam,CH3/CH4,,DWG-TB-S055-001,group_mapping,
TR-4243,56,中間横桁（その8）,intermediate_cross_beam,CH3/CH4,,DWG-TB-S056-001,group_mapping,
TR-4244,57,中間横桁（その9）,intermediate_cross_beam,CH3/CH4,,DWG-TB-S057-001,group_mapping,
TR-4245,58,中間横桁（その10）,intermediate_cross_beam,CH3/CH4,,DWG-TB-S058-001,group_mapping,
TR-4246,59,中間横桁（その11）,intermediate_cross_beam,CH3/CH4,,DWG-TB-S059-001,group_mapping,
TR-4247,60,中間横桁（その12）,intermediate_cross_beam,CH3/CH4,,DWG-TB-S060-001,group_mapping,
TR-4248,61,上下横構（その1）,lateral_bracing,CH3,,DWG-TB-S061-001,group_mapping,
TR-4249,62,上下横構（その2）,lateral_bracing,CH3,,DWG-TB-S062-001,group_mapping,
TR-4250,63,上下横構（その3）,lateral_bracing,CH3,,DWG-TB-S063-001,group_mapping,
TR-4251,64,上下横構（その4）,lateral_bracing,CH3,,DWG-TB-S064-001,group_mapping,
TR-4252,65,上下横構（その5）,lateral_bracing,CH3,,DWG-TB-S065-001,group_mapping,
TR-4253,66,上下横構（その6）,lateral_bracing,CH3,,DWG-TB-S066-001,group_mapping,
TR-4254,67,上下横構（その7）,lateral_bracing,CH3,,DWG-TB-S067-001,group_mapping,
TR-4255,68,上下横構（その8）,lateral_bracing,CH3,,DWG-TB-S068-001,group_mapping,
TR-4256,69,上下横構（その9）,lateral_bracing,CH3,,DWG-TB-S069-001,group_mapping,
TR-4257,70,上下横構（その10）,lateral_bracing,CH3,,DWG-TB-S070-001,group_mapping,
TR-4258,71,上下横構（その11）,lateral_bracing,CH3,,DWG-TB-S071-001,group_mapping,
TR-4259,72,巻き立てコンクリート（その1）,wrapping_concrete,CH3,,DWG-TB-S072-001,group_mapping,
TR-4260,73,巻き立てコンクリート（その2）,wrapping_concrete,CH3,,DWG-TB-S073-001,group_mapping,
TR-4261,74,巻き立てコンクリート（その3）,wrapping_concrete,CH3,,DWG-TB-S074-001,group_mapping,
TR-4262,75,巻き立てコンクリート（その4）,wrapping_concrete,CH3,,DWG-TB-S075-001,group_mapping,
TR-4263,76,巻き立てコンクリート（その5）,wrapping_concrete,CH3,,DWG-TB-S076-001,group_mapping,
TR-4264,77,巻き立てコンクリート（その6）,wrapping_concrete,CH3,,DWG-TB-S077-001,group_mapping,
TR-4265,78,巻き立てコンクリート（その7）,wrapping_concrete,CH3,,DWG-TB-S078-001,group_mapping,
TR-4266,79,巻き立てコンクリート（その8）,wrapping_concrete,CH3,,DWG-TB-S079-001,group_mapping,
TR-4267,80,巻き立てコンクリートスタッド図（その1）,wrapping_concrete_stud,CH3,,DWG-TB-S080-001,group_mapping,
TR-4268,81,巻き立てコンクリートスタッド図（その2）,wrapping_concrete_stud,CH3,,DWG-TB-S081-001,group_mapping,
TR-4269,82,巻き立てコンクリートスタッド図（その3）,wrapping_concrete_stud,CH3,,DWG-TB-S082-001,group_mapping,
TR-4270,83,巻き立てコンクリートスタッド図（その4）,wrapping_concrete_stud,CH3,,DWG-TB-S083-001,group_mapping,
TR-4271,84,合成床版割付図,composite_deck_layout,CH2/CH4,,DWG-TB-S084-001,group_mapping,
TR-4272,85,支承詳細図（その1）,bearing_detail,CH5,,DWG-TB-S085-001,group_mapping,
TR-4273,86,支承詳細図（その2）,bearing_detail,CH5,,DWG-TB-S086-001,group_mapping,
TR-4274,87,支承詳細図（その3）,bearing_detail,CH5,,DWG-TB-S087-001,group_mapping,
TR-4275,88,支承詳細図（その4）,bearing_detail,CH5,,DWG-TB-S088-001,group_mapping,
TR-4276,89,伸縮装置（その1）,expansion_joint,CH5,,DWG-TB-S089-001,group_mapping,
TR-4277,90,伸縮装置（その2）,expansion_joint,CH5,,DWG-TB-S090-001,group_mapping,
